[Processes]
324,
defragsvc,STOPPED
DeviceAssociationService,RUNNING
DeviceInstall,STOPPED
DevQueryBroker,RUNNING
Dhcp,RUNNING
diagnosticshub,STOPPED
diagsvc,STOPPED
DiagTrack,RUNNING
DispBrokerDesktopSvc,RUNNING
DisplayEnhancementService,STOPPED
DmEnrollmentSvc,STOPPED
dmwappushservice,STOPPED
Dnscache,RUNNING
DoSvc,RUNNING
dot3svc,STOPPED
DPS,RUNNING
DSAService,RUNNING
DSAUpdateService,RUNNING
DsmSvc,STOPPED
DsSvc,RUNNING
DusmSvc,RUNNING
Eaphost,STOPPED
EasyAntiCheat,STOPPED
edgeupdate,STOPPED
edgeupdatem,STOPPED
EFS,RUNNING
embeddedmode,STOPPED
EntAppSvc,STOPPED
EventLog,RUNNING
EventSystem,RUNNING
EvtEng,RUNNING
Ext2Srv,RUNNING
Fax,STOPPED
fdPHost,STOPPED
FDResPub,STOPPED
fhsvc,RUNNING
FontCache,RUNNING
FontCache3,STOPPED
FrameServer,STOPPED
GoogleChromeElevationService,STOPPED
gpsvc,STOPPED
GraphicsPerfSvc,STOPPED
gupdate,STOPPED
gupdatem,STOPPED
HgClientService,STOPPED
hidserv,RUNNING
hns,RUNNING
HvHost,RUNNING
ibtsiva,RUNNING
icssvc,STOPPED
IKEEXT,STOPPED
InstallService,RUNNING
Intel,RUNNING
iphlpsvc,RUNNING
IpOverUsbSvc,RUNNING
IpxlatCfgSvc,STOPPED
KeyIso,RUNNING
KinectManagement,RUNNING
KtmRm,STOPPED
LanmanServer,RUNNING
LanmanWorkstation,RUNNING
lfsvc,RUNNING
LicenseManager,RUNNING
lltdsvc,STOPPED
lmhosts,RUNNING
LSM,RUNNING
LxpSvc,STOPPED
LxssManager,STOPPED
MapsBroker,STOPPED
MBAMService,RUNNING
MicrosoftEdgeElevationService,STOPPED
MixedRealityOpenXRSvc,STOPPED
MozillaMaintenance,STOPPED
mpssvc,RUNNING
MSDTC,STOPPED
MSiSCSI,STOPPED
msiserver,STOPPED
MyWiFiDHCPDNS,STOPPED
NaturalAuthentication,RUNNING
NcaSvc,STOPPED
NcbService,RUNNING
NcdAutoSetup,STOPPED
Netlogon,STOPPED
Netman,RUNNING
netprofm,RUNNING
NetSetupSvc,RUNNING
NetTcpPortSharing,STOPPED
NgcCtnrSvc,STOPPED
NgcSvc,STOPPED
NlaSvc,RUNNING
nsi,RUNNING
nvagent,RUNNING
NvTelemetryContainer,STOPPED
OVRLibraryService,STOPPED
OVRService,RUNNING
p2pimsvc,STOPPED
p2psvc,STOPPED
Parsec,RUNNING
PcaSvc,RUNNING
PeerDistSvc,STOPPED
perceptionsimulation,STOPPED
PerfHost,STOPPED
PhoneSvc,RUNNING
pla,STOPPED
PlugPlay,RUNNING
PNRPAutoReg,STOPPED
PNRPsvc,STOPPED
PolicyAgent,RUNNING
Power,RUNNING
PrintNotify,STOPPED
ProfSvc,RUNNING
PushToInstall,STOPPED
QWAVE,STOPPED
RasAuto,STOPPED
RasMan,RUNNING
RegSrvc,RUNNING
RemoteAccess,STOPPED
RemoteRegistry,STOPPED
RetailDemo,STOPPED
RmSvc,RUNNING
RpcEptMapper,RUNNING
RpcLocator,STOPPED
RpcSs,RUNNING
SamSs,RUNNING
SCardSvr,STOPPED
ScDeviceEnum,STOPPED
Schedule,RUNNING
SCPolicySvc,STOPPED
SDRSVC,STOPPED
seclogon,STOPPED
SecurityHealthService,RUNNING
SEMgrSvc,STOPPED
SENS,RUNNING
Sense,STOPPED
SensorDataService,STOPPED
SensorService,STOPPED
SensrSvc,STOPPED
SessionEnv,STOPPED
SgrmBroker,RUNNING
SharedAccess,RUNNING
SharedRealitySvc,STOPPED
ShellHWDetection,RUNNING
shpamsvc,STOPPED
smphost,STOPPED
SmsRouter,STOPPED
SNMPTRAP,STOPPED
spectrum,STOPPED
Spooler,RUNNING
sppsvc,STOPPED
SSDPSRV,RUNNING
ssh,STOPPED
SstpSvc,RUNNING
StateRepository,RUNNING
Steam,RUNNING
stisvc,RUNNING
StorSvc,RUNNING
svsvc,STOPPED
swprv,STOPPED
SysMain,RUNNING
SystemEventsBroker,RUNNING
TabletInputService,RUNNING
TapiSrv,RUNNING
Te,STOPPED
TermService,STOPPED
Themes,RUNNING
TieringEngineService,STOPPED
TimeBrokerSvc,RUNNING
TokenBroker,RUNNING
TrkWks,RUNNING
TroubleshootingSvc,STOPPED
TrustedInstaller,STOPPED
tzautoupdate,STOPPED
UevAgentService,STOPPED
uhssvc,STOPPED
UmRdpService,STOPPED
upnphost,STOPPED
UserManager,RUNNING
UsoSvc,RUNNING
VacSvc,STOPPED
VaultSvc,RUNNING
vds,STOPPED
ViveportDesktopService,STOPPED
vmcompute,RUNNING
vmicguestinterface,STOPPED
vmicheartbeat,STOPPED
vmickvpexchange,STOPPED
vmicrdv,STOPPED
vmicshutdown,STOPPED
vmictimesync,STOPPED
vmicvmsession,STOPPED
vmicvss,STOPPED
vMixService,STOPPED
vmms,RUNNING
VSS,STOPPED
W32Time,STOPPED
WaaSMedicSvc,RUNNING
WalletService,STOPPED
WarpJITSvc,STOPPED
wbengine,STOPPED
WbioSrvc,RUNNING
Wcmsvc,RUNNING
wcncsvc,STOPPED
WdiServiceHost,RUNNING
WdiSystemHost,RUNNING
WdNisSvc,STOPPED
WebClient,STOPPED
Wecsvc,STOPPED
WEPHOSTSVC,STOPPED
wercplsupport,STOPPED
WerSvc,STOPPED
WFDSConMgrSvc,STOPPED
WiaRpc,STOPPED
WinDefend,RUNNING
WinHttpAutoProxySvc,RUNNING
Winmgmt,RUNNING
WinRM,STOPPED
wisvc,STOPPED
WlanSvc,RUNNING
wlidsvc,STOPPED
wlpasvc,STOPPED
WManSvc,STOPPED
wmiApSrv,STOPPED
WMPNetworkSvc,STOPPED
workfolderssvc,STOPPED
WpcMonSvc,STOPPED
WPDBusEnum,STOPPED
WpnService,RUNNING
wscsvc,RUNNING
WSearch,RUNNING
wuauserv,RUNNING
WwanSvc,STOPPED
XblAuthManager,STOPPED
XblGameSave,STOPPED
XboxGipSvc,STOPPED
XboxNetApiSvc,STOPPED
ZeroConfigService,RUNNING
AarSvc_2af325,RUNNING
BcastDVRUserService_2af325,STOPPED
BluetoothUserService_2af325,STOPPED
CaptureService_2af325,STOPPED
cbdhsvc_2af325,RUNNING
CDPUserSvc_2af325,RUNNING
ConsentUxUserSvc_2af325,STOPPED
CredentialEnrollmentManagerUserSvc_2af325,STOPPED
DeviceAssociationBrokerSvc_2af325,STOPPED
DevicePickerUserSvc_2af325,RUNNING
DevicesFlowUserSvc_2af325,RUNNING
LxssManagerUser_2af325,STOPPED
MessagingService_2af325,STOPPED
OneSyncSvc_2af325,RUNNING
PimIndexMaintenanceSvc_2af325,RUNNING
PrintWorkflowUserSvc_2af325,STOPPED
UdkUserSvc_2af325,RUNNING
UnistoreSvc_2af325,RUNNING
UserDataSvc_2af325,RUNNING
WpnUserService_2af325,RUNNING
